Ob,EMPLOYMENT_TYPE
1,Change Previous Employment
2,New employment
3,Change Employer
4,Change Employer
5,Continued employment
6,Amend Petition
7,New employment
8,Continued employment
9,Change Employer
10,New employment
11,Change Previous Employment
12,Continued employment
13,Continued employment
14,Amend Petition
15,New employment
16,Amend Petition
17,New employment
18,Change Employer
19,New employment
20,Amend Petition
21,Change Employer
22,Continued employment
23,Amend Petition
24,Continued employment
25,New employment
26,New employment
27,Change Employer
28,New employment
29,
30,New employment
31,New employment
32,New employment
33,Change Employer
34,New employment
35,Change Previous Employment
36,New employment
37,Continued employment
38,New employment
39,Continued employment
40,New employment
41,Amend Petition
42,New employment
43,Continued employment
44,New employment
45,Continued employment
46,New employment
47,Change Employer
48,Continued employment
49,New employment
50,New employment
51,Continued employment
52,New employment
53,New employment
54,Change Employer
55,Amend Petition
56,Amend Petition
57,New employment
58,Continued employment
59,New employment
60,
61,Change Employer
62,Change Employer
63,New employment
64,Amend Petition
65,New employment
66,
67,Continued employment
68,Amend Petition
69,Amend Petition
70,Change Employer
71,New employment
72,Continued employment
73,Continued employment
74,Continued employment
75,Continued employment
76,New employment
77,New employment
78,New employment
79,New employment
80,
81,New employment
82,Change Employer
83,Continued employment
84,Continued employment
85,Continued employment
86,Continued employment
87,New Concurrent Employment
88,New employment
89,Change Previous Employment
90,New employment
91,Change Previous Employment
92,Continued employment
93,Continued employment
94,Continued employment
95,New employment
96,New employment
97,New employment
98,New employment
99,Change Employer
100,Continued employment
101,Amend Petition
102,Amend Petition
103,New employment
104,New employment
105,New employment
106,New employment
107,New employment
108,New employment
109,Amend Petition
110,New employment
111,Change Employer
112,New employment
113,Continued employment
114,Continued employment
115,New employment
116,Change Previous Employment
117,New employment
118,New employment
119,Change Previous Employment
120,New employment
121,New employment
122,New employment
123,New employment
124,New employment
125,
126,New employment
127,Change Employer
128,New employment
129,New employment
130,New employment
131,Amend Petition
132,
133,Continued employment
134,New employment
135,New employment
136,Continued employment
137,Change Employer
138,Continued employment
139,New employment
140,New employment
141,Change Employer
142,New employment
143,Change Previous Employment
144,Continued employment
145,Continued employment
146,New employment
147,New employment
148,New employment
149,New employment
150,New Concurrent Employment
151,Change Employer
152,New employment
153,New employment
154,New employment
155,Continued employment
156,New employment
157,New employment
158,New employment
159,New employment
160,Continued employment
161,Change Previous Employment
162,Change Employer
163,New employment
164,New employment
165,New employment
166,Amend Petition
167,
168,Continued employment
169,Amend Petition
170,Continued employment
171,New employment
172,Continued employment
173,New employment
174,New employment
175,New employment
176,New employment
177,Change Employer
178,Amend Petition
179,Continued employment
180,Continued employment
181,New employment
182,New employment
183,New employment
184,
185,New employment
186,New employment
187,New employment
188,Continued employment
189,Continued employment
190,New employment
191,Change Employer
192,Change Previous Employment
193,New employment
194,Continued employment
195,Change Employer
196,New employment
197,New employment
198,Change Employer
199,Change Employer
200,Change Employer
201,New employment
202,New employment
203,New employment
204,Change Previous Employment
205,New employment
206,Continued employment
207,New employment
208,
209,Change Employer
210,Continued employment
211,New employment
212,New employment
213,Change Employer
214,
215,New employment
216,New employment
217,New employment
218,Continued employment
219,New employment
220,Change Employer
221,New employment
222,Change Employer
223,Continued employment
224,New employment
225,New employment
226,Amend Petition
227,New employment
228,Change Employer
229,Change Employer
230,New employment
231,Continued employment
232,New employment
233,New employment
234,New employment
235,Continued employment
236,Change Previous Employment
237,New employment
238,New employment
239,Amend Petition
240,Continued employment
241,Amend Petition
242,Continued employment
243,Change Employer
244,Change Employer
245,Continued employment
246,New employment
247,New employment
248,New employment
249,Continued employment
250,New employment
251,Continued employment
252,Change Employer
253,Continued employment
254,Change Employer
255,Amend Petition
256,Amend Petition
257,Amend Petition
258,Continued employment
259,Continued employment
260,Change Employer
261,New employment
262,New employment
263,Continued employment
264,Continued employment
265,Continued employment
266,New employment
267,
268,Continued employment
269,Change Employer
270,Continued employment
271,New employment
272,Change Employer
273,Continued employment
274,Amend Petition
275,Continued employment
276,Change Previous Employment
277,Continued employment
278,Change Employer
279,New employment
280,Amend Petition
281,Change Employer
282,New employment
283,Continued employment
284,New employment
285,New employment
286,New employment
287,Amend Petition
288,Change Employer
289,New employment
290,New employment
291,Change Employer
292,Amend Petition
293,New employment
294,
295,New employment
296,Continued employment
297,New employment
298,Change Employer
299,New employment
300,New employment
301,New employment
302,Continued employment
303,New employment
304,Change Employer
305,Amend Petition
306,Continued employment
307,Change Previous Employment
308,
309,New employment
310,New employment
311,Amend Petition
312,New employment
313,Change Previous Employment
314,New employment
315,New employment
316,Amend Petition
317,Amend Petition
318,Continued employment
319,New employment
320,New employment
321,Continued employment
