"","CASE_STATUS","EMPLOYER_STATE","SOC_NAME","FULL_TIME_POSITION","PREVAILING_WAGE","PW_SOURCE","WAGE_RATE_OF_PAY_FROM","WORKSITE_STATE","DECISION_DURATION","EMPLOYMENT_DURATION"
"2","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",109762,"OES",116000,"West",1016,1095
"4","DENIED","West","MANAGEMENT ANALYSTS","Y",56118,"Other",56118,"South",0,1096
"5","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",95805,"OES",95805,"South",0,1095
"6","DENIED","Southwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",76586,"OES",76586,"Southwest",2,1095
"7","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",68827,"Southwest",0,1096
"9","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",77210,"OES",119000,"Midwest",7,1095
"10","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",91541,"Other",1e+05,"Midwest",0,1096
"12","DENIED","South","NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS","Y",83221,"OES",105000,"South",4,1095
"13","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90002,"OES",90002,"Southwest",2,1095
"14","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",82763,"OES",136672.8,"Southwest",560,1095
"15","DENIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",88317,"OES",88317,"Mid-Atlantic",0,1096
"18","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",45.3,"OES",48.5,"Midwest",0,1095
"19","DENIED","South","FINANCIAL ANALYSTS","Y",46197,"OES",49000,"Midwest",1087,1095
"20","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",65666,"OES",65666,"West",0,1095
"23","DENIED","Mid-Atlantic","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90106,"OES",91000,"Southwest",0,1095
"24","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",167482,"OES",66830,"Midwest",4,1096
"28","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",68827,"Southwest",3,1096
"29","DENIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",102461,"OES",102461,"Midwest",5,1096
"30","DENIED","South","COMPUTER PROGRAMMERS","Y",59467,"OES",64979,"South",802,1095
"32","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",83346,"OES",90677,"West",4,1096
"33","DENIED","South","COMPUTER OCCUPATIONS, ALL OTHER","Y",74110,"OES",107140.8,"South",666,1095
"34","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",87859,"OES",87859,"South",0,1095
"36","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",67184,"OES",68000,"Southwest",7,1095
"37","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90688,"OES",90688,"Mid-Atlantic",4,1095
"38","DENIED","West","MANAGEMENT ANALYSTS","Y",40.24,"OES",40.24,"West",3,1096
"40","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",68827,"OES",68827,"Southwest",0,1096
"41","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",102900,"Other",122033,"West",1,92
"42","DENIED","West","ACCOUNTANTS AND AUDITORS","N",18.49,"OES",18.5,"West",2,1094
"43","DENIED","Southwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",95077,"OES",95077,"Southwest",1068,1095
"47","DENIED","Midwest","PHYSICIANS AND SURGEONS, ALL OTHER","Y",56701,"OES",180000,"Midwest",0,1096
"48","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",71261,"OES",77604,"Midwest",1046,905
"49","DENIED","Mid-Atlantic","FINANCIAL ANALYSTS","Y",65749,"OES",65749,"Mid-Atlantic",0,1096
"50","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",55910,"OES",60000,"Mid-Atlantic",6,1095
"51","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",136573,"OES",190000,"West",156,1095
"52","DENIED","Mid-Atlantic","COMPUTER PROGRAMMERS","Y",63357,"Other",70000,"Mid-Atlantic",6,1095
"53","DENIED","Mid-Atlantic","MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS","Y",19.55,"OES",19.75,"Mid-Atlantic",1,1095
"55","DENIED","Midwest","COMPUTER PROGRAMMERS","Y",56285,"Other",65000,"Midwest",3,1094
"57","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",80746,"OES",81000,"West",1049,1096
"58","DENIED","South","COMPUTER PROGRAMMERS","Y",97843,"OES",102000,"South",0,1094
"61","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",90646,"OES",115000,"South",230,1094
"62","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",65541,"OES",120000,"Mid-Atlantic",7,1095
"64","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",96720,"Other",96720,"West",2,1096
"65","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",63315,"Other",60000,"South",0,1095
"66","DENIED","Midwest","COMPUTER SYSTEMS ANALYSTS","Y",30.37,"Other",30.37,"West",3,1095
"67","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",135898,"OES",135898,"West",4,1095
"68","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",69805,"OES",70221,"Mid-Atlantic",1,1095
"69","DENIED","Southwest","COMPUTER SYSTEMS ANALYSTS","Y",65208,"OES",78957,"Mid-Atlantic",0,1095
"72","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",75795,"OES",77400,"Midwest",1,1095
"73","DENIED","South","COMPUTER PROGRAMMERS","Y",68370,"OES",73625,"South",0,472
"74","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",53165,"OES",68280,"Mid-Atlantic",6,1095
"75","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",79352,"OES",80000,"Mid-Atlantic",1,1095
"77","DENIED","Mid-Atlantic","COMPUTER OCCUPATIONS, ALL OTHER","Y",64522,"OES",65000,"Midwest",1,1096
"78","DENIED","South","COMPUTER PROGRAMMERS","Y",74090,"OES",78506,"Mid-Atlantic",1,823
"80","DENIED","West","COMPUTER SYSTEMS ANALYST","Y",78333,"OES",109617,"Midwest",6,1094
"81","DENIED","South","COMPUTER PROGRAMMERS","Y",86091,"OES",86091,"Midwest",0,1095
"82","DENIED","South","COMPUTER SYSTEMS ANALYSTS","Y",77979,"OES",75000,"Midwest",1,119
"84","DENIED","West","COMPUTER OCCUPATIONS, ALL OTHER","Y",65042,"OES",83200,"West",2,1096
"87","DENIED","South","PHYSICIANS AND SURGEONS, ALL OTHER","Y",95.23,"Other",125,"South",0,1094
"88","DENIED","West","SOFTWARE DEVELOPERS, APPLICATIONS","Y",122533,"Other",140000,"West",0,1096
"89","DENIED","South","SOFTWARE DEVELOPERS, APPLICATIONS","Y",77210,"OES",103100.4,"Mid-Atlantic",753,1095
"93","DENIED","Mid-Atlantic","FINANCIAL ANALYSTS","Y",95160,"OES",124400,"Mid-Atlantic",2,1095
"94","DENIED","Midwest","COMPUTER OCCUPATIONS, ALL OTHER","Y",74173,"OES",74173,"Midwest",3,1094
"97","DENIED","South","MECHANICAL ENGINEERS","Y",15.97,"OES",19,"South",6,1094
"98","DENIED","Mid-Atlantic","COMPUTER SYSTEMS ANALYSTS","Y",62234,"OES",68000,"West",4,1095
"100","DENIED","Midwest","SOFTWARE DEVELOPERS, APPLICATIONS","Y",85654,"Other",95000,"Midwest",4,1095
